Trn# (Internal);OR_DEAL_NO;GID_ORG;TT deal number reference;Trn.Date;Date: Period value date;Counterpart;Instrument;Buy / Sell Flag (B/S);Nominal currency;Nominal amount;Price in display format;XSW Leg2 Price;Original Deal Contract Rate;Status (LIVE/MKT_OP/DEAD);AGENT;PURPOSE;Trader;CONTACT;Original Typology;Val status;NOS_ACC Credit;NOS_ACC Debit;SETL_MOD Credit;SETL_MOD Debit;
8830426;8812950;3026169;0;09/05/2016;09/05/2016;C_490;USD/THB;B;USD;55368;35.0352;35.11;35.11;LIVE;FRC;IW;CJT08153;rattana;PROFWD;CONF;;;CORP;CORP;
8832482;8829406;3043057;0;09/05/2016;09/05/2016;C_3291;USD/THB;B;USD;143909.55;35.15;35.23;35.23;LIVE;FRC;IW;CJT08153;wanna;PROFWD;CONF;;;CORP;CORP;
8832516;8754024;2965905;0;09/05/2016;09/05/2016;C_1690;USD/THB;B;USD;21988;34.8313;34.91;34.91;LIVE;FRC;IW;CJT08153;rattana;PROFWD;CONF;;;CORP;CORP;
8830846;8812950;3026169;0;09/05/2016;09/05/2016;C_490;USD/THB;B;USD;16155.85;35.0352;35.11;35.11;LIVE;FRC;IW;VAI09054;rattana;PROFWD;CONF;;;CORP;CORP;
8830863;8814098;3027360;0;09/05/2016;09/05/2016;C_490;USD/THB;B;USD;3333.15;35.1259;35.21;35.21;LIVE;FRC;IW;VAI09054;rattana;PROFWD;CONF;;;CORP;CORP;
8831984;8566671;2773241;0;09/05/2016;09/05/2016;C_341;USD/THB;B;USD;10862.25;36.1302;36.14;36.14;LIVE;FRC;IW;VAI09054;wanna;PROFWD;CONF;;;CORP;CORP;
8832353;8684655;2894771;0;09/05/2016;09/05/2016;C_5055;USD/THB;B;USD;47825;35.7274;35.78;35.78;LIVE;FRC;IW;VAI09054;oraphin;PROFWD;CONF;;;CORP;CORP;
8832371;8684655;2894771;0;09/05/2016;09/05/2016;C_5055;USD/THB;B;USD;121764.79;35.7274;35.78;35.78;LIVE;FRC;IW;VAI09054;oraphin;PROFWD;CONF;;;CORP;CORP;
8832447;8765628;2977817;0;09/05/2016;09/05/2016;C_4698;USD/THB;B;USD;65370.95;35.2428;35.32;35.32;LIVE;FRC;IW;VAI09054;pattarin;PROFWD;CONF;;;CORP;CORP;
8832474;8827872;3041486;0;09/05/2016;09/05/2016;C_3291;USD/THB;B;USD;500000;35.08;35.16;35.16;LIVE;FRC;IW;VAI09054;wanna;PROFWD;CONF;;;CORP;CORP;
8832720;8746803;2958470;0;09/05/2016;09/05/2016;C_3925;USD/THB;B;USD;2318.68;35.0293;35.1;35.1;LIVE;FRC;IW;VAI09054;rattana;PROFWD;CONF;;;CORP;CORP;
8832722;8746803;2958470;0;09/05/2016;09/05/2016;C_3925;USD/THB;B;USD;2030.68;35.0293;35.1;35.1;LIVE;FRC;IW;VAI09054;rattana;PROFWD;CONF;;;CORP;CORP;
8832724;8746803;2958470;0;09/05/2016;09/05/2016;C_3925;USD/THB;B;USD;11055.93;35.0293;35.1;35.1;LIVE;FRC;IW;VAI09054;rattana;PROFWD;CONF;;;CORP;CORP;
8832730;8686155;2896321;0;09/05/2016;09/05/2016;C_5055;USD/THB;B;USD;25764.5;35.8768;35.93;35.93;LIVE;FRC;IW;VAI09054;oraphin;PROFWD;CONF;;;CORP;CORP;
